time,open,high,low,close,Volume
2023-10-25,0.4347,0.4503,0.42,0.4361,1678523.2
2023-10-26,0.4352,0.4631,0.4179,0.4384,939638.1
2023-10-27,0.4419,0.4564,0.4207,0.4326,1056760.2
2023-10-28,0.4334,0.4782,0.4334,0.4672,1131493.1
2023-10-29,0.4669,0.4674,0.451,0.4526,929663.5
2023-10-30,0.4549,0.4739,0.4432,0.4636,2084134
2023-10-31,0.4626,0.489,0.42,0.4431,2109602
2023-11-01,0.4412,0.4729,0.4256,0.4656,1568405.3
2023-11-02,0.4667,0.4815,0.4418,0.4586,1476539.4
2023-11-03,0.4578,0.4578,0.4317,0.4559,728146.6
2023-11-04,0.4531,0.52,0.4511,0.5072,1303282.9
2023-11-05,0.5091,0.5232,0.4833,0.5031,1301859.9
2023-11-06,0.4985,0.5375,0.4874,0.528,5082187.5
2023-11-07,0.5259,0.5287,0.4924,0.5221,947508.8
2023-11-08,0.5224,0.6016,0.5176,0.5763,3939881.4
2023-11-09,0.5759,0.6072,0.4879,0.5586,5778096.1
2023-11-10,0.558,0.63,0.535,0.6101,4909246.9
2023-11-11,0.6107,0.6145,0.5687,0.5928,3933439.5
2023-11-12,0.5927,0.646,0.5576,0.619,4742264
2023-11-13,0.6196,0.659,0.6001,0.6001,2683727.1
2023-11-14,0.6014,0.6293,0.538,0.5661,2373898.7
2023-11-15,0.5657,0.6209,0.56,0.6191,2393058.1
2023-11-16,0.6198,0.6412,0.55,0.5637,5358579
2023-11-17,0.5652,0.586,0.525,0.5531,3458712.4
2023-11-18,0.5534,0.5554,0.5151,0.545,891484.2
2023-11-19,0.5441,0.5667,0.529,0.5618,840127
2023-11-20,0.5617,0.5786,0.5438,0.5551,1388603.4
2023-11-21,0.5525,0.5817,0.4989,0.5007,1864113.1
2023-11-22,0.5021,0.5628,0.5021,0.5558,1280343.5
2023-11-23,0.5555,0.5951,0.5529,0.588,1572022.7
2023-11-24,0.5871,0.6412,0.5816,0.6274,2007045.1
2023-11-25,0.6259,0.6893,0.6217,0.6546,3056770.9
2023-11-26,0.655,0.6686,0.6083,0.6335,1532850.3
2023-11-27,0.6348,0.6475,0.577,0.593,1831974.4
2023-11-28,0.593,0.6302,0.5642,0.6183,1910476.2
2023-11-29,0.6184,0.6234,0.5785,0.6022,2030885.3
2023-11-30,0.6004,0.6405,0.5875,0.5974,2769353.9
2023-12-01,0.5975,0.6283,0.5917,0.6132,1627888.3
2023-12-02,0.614,0.634,0.6042,0.6262,1518881.6
2023-12-03,0.624,0.6303,0.599,0.6152,3014758
2023-12-04,0.6157,0.6466,0.5547,0.629,4572346.7
2023-12-05,0.6298,0.6592,0.618,0.6442,3814473.2
