time,open,high,low,close
2022-06-29,35.2712,36.0429,33.0679,34.0053
2022-06-30,34.0183,34.1489,30.7065,33.7291
2022-07-01,33.6909,35.3551,31.8,32.786
2022-07-02,32.8213,34.0741,31.8373,33.3108
2022-07-03,33.3237,33.6297,32.1225,33.3554
2022-07-04,33.3288,36.8735,32.411,36.6671
2022-07-05,36.6656,36.9275,33.1145,35.3725
2022-07-06,35.3707,37.4923,34.7944,37.0022
2022-07-07,37.0173,39.2504,36.3668,38.4525
2022-07-08,38.4575,39.644,36.4481,38.1048
2022-07-09,38.1264,38.8868,37.7624,38.0629
2022-07-10,38.0429,38.1326,36.2274,36.6821
2022-07-11,36.6688,36.6895,33.2159,33.4025
2022-07-12,33.3856,34.5686,32.5774,32.6453
2022-07-13,32.6497,35.0401,31.8188,34.9317
2022-07-14,34.9192,37.2657,33.5758,37.1153
2022-07-15,37.1222,39.0623,36.5132,37.3667
2022-07-16,37.3837,40.4315,36.3599,39.5774
2022-07-17,39.5734,41.0665,38.302,38.5913
2022-07-18,38.5908,44.0479,38.5622,43.524
2022-07-19,43.5316,47.3378,42.5597,44.8884
2022-07-20,44.8741,46.3175,41.3213,42.0501
2022-07-21,42.0369,44.0382,39.6525,43.1118
2022-07-22,43.105,44.2975,40.0273,40.5316
2022-07-23,40.5425,41.9117,38.6255,39.9871
2022-07-24,39.9765,42.0891,39.4911,40.9542
2022-07-25,40.948,41.0875,36.5859,36.6416
2022-07-26,36.6363,36.8183,34.6949,36.2866
2022-07-27,36.2821,40.5506,35.6956,40.2528
2022-07-28,40.2557,44.1917,39.0464,42.9467
2022-07-29,42.9772,44.3815,41.1685,41.9434
2022-07-30,41.9476,46.6668,41.478,43.8431
2022-07-31,43.84,45.1817,42.2575,42.3642
2022-08-01,42.3485,43.2475,40.6007,41.6647
2022-08-02,41.6558,42.4449,39.5397,39.7994
2022-08-03,39.7953,41.03,37.4645,38.555
2022-08-04,38.545,39.807,37.9828,38.8131
2022-08-05,38.8315,41.3577,38.7172,40.5656
2022-08-06,40.5512,40.9045,39.8499,40.0569
2022-08-07,40.0442,41.5625,39.233,40.611
2022-08-08,40.6129,43.7041,40.5731,42.2143
2022-08-09,42.1859,42.7452,39.7674,40.3566
2022-08-10,40.3461,42.8831,39.163,42.4836
2022-08-11,42.4891,45.336,42.3758,42.7986
2022-08-12,42.81,45.5424,42.154,45.4967
2022-08-13,45.515,48.3698,45.3166,46.5943
2022-08-14,46.605,48.0651,44.4832,44.8712
2022-08-15,44.8616,47.242,42.7631,43.7316
2022-08-16,43.7191,44.3049,42.5598,43.1015
2022-08-17,43.0966,44.7087,40.1963,40.5233
2022-08-18,40.5372,41.6562,39.3659,39.5231
2022-08-19,39.5084,39.5763,35.1125,35.8236
2022-08-20,35.8308,37.2546,34.2214,35.2798
2022-08-21,35.2894,37.0478,34.4957,36.464
2022-08-22,36.4868,36.541,33.76,35.4344
2022-08-23,35.4296,36.0911,34.2545,35.6664
2022-08-24,35.6831,36.4246,34.315,34.8917
2022-08-25,34.8885,36.476,34.88,35.2742
2022-08-26,35.2424,35.8121,31.388,31.7368
2022-08-27,31.7329,32.2413,30.8839,31.5179
2022-08-28,31.522,32.2104,30.1993,30.4349
2022-08-29,30.4205,32.6407,30.015,32.4247
2022-08-30,32.4206,33.1547,30.6534,31.4589
2022-08-31,31.473,32.9524,31.1779,31.4978
2022-09-01,31.4959,31.7761,30.4364,31.6057
2022-09-02,31.6108,32.3918,30.775,31.2318
2022-09-03,31.2244,31.2727,30.8165,31.1275
2022-09-04,31.1242,32.1883,31.044,32.1573
2022-09-05,32.1573,32.5006,31.1599,32.1707
2022-09-06,32.1894,33.8639,30.458,30.8795
2022-09-07,30.8641,32.9442,30.3325,32.6885
2022-09-08,32.6911,34.0919,32.0177,33.6129
2022-09-09,33.6212,35.9761,33.5986,34.7133
2022-09-10,34.6795,35.4189,34.2875,35.063
2022-09-11,35.0669,36.01,34.0656,35.027
2022-09-12,35.0002,38.395,34.4357,37.4582
2022-09-13,37.4494,38.9593,32.9506,33
2022-09-14,32.9952,34.3433,32.7106,34.1167
2022-09-15,34.115,34.8349,32.425,33.074
2022-09-16,33.075,33.2452,31.5125,32.243
2022-09-17,32.2349,33.8926,32.228,33.6912
2022-09-18,33.7002,33.9818,30.8785,31.1101
2022-09-19,31.1087,33.0675,30.5186,32.6198
2022-09-20,32.6426,32.8693,31.3202,31.409
2022-09-21,31.4132,33.4892,30.0525,30.6689
2022-09-22,30.665,32.8481,30.5974,32.4159
2022-09-23,32.4253,33.9541,31.2224,33.6785
2022-09-24,33.6826,34.7675,33.1611,33.3855
2022-09-25,33.4036,34.0408,31.885,32.3334
2022-09-26,32.3277,33.9445,31.8762,33.895
2022-09-27,33.895,35.4112,32.085,32.6745
2022-09-28,32.6786,33.7916,31.6565,33.2322
2022-09-29,33.2403,34.419,32.6572,33.9291
2022-09-30,33.9483,35.2038,32.631,33.2428
2022-10-01,33.2207,33.2207,32.3573,32.4418
2022-10-02,32.4354,33.0161,31.8845,32.0518
2022-10-03,32.0737,33.2582,31.766,32.9107
2022-10-04,32.9066,34.4108,32.8437,34.1043
2022-10-05,34.1168,34.3704,33.1975,34.0549
2022-10-06,34.0483,34.514,33.2853,33.355
2022-10-07,33.3504,33.7703,32.4255,32.9803
2022-10-08,32.9719,33.07,32.365,32.572
2022-10-09,32.5684,33.1301,32.4508,32.9276
2022-10-10,32.9183,33.4531,31.8968,31.9519
2022-10-11,31.9409,31.9434,30.4318,30.7972
2022-10-12,30.7907,31.5234,30.6693,31.1577
2022-10-13,31.1523,31.1981,27.84,30.4994
2022-10-14,30.4976,31.9756,29.6242,29.9995
2022-10-15,29.999,30.1996,29.4235,29.5836
2022-10-16,29.5892,30.5218,29.5641,30.1474
2022-10-17,30.1581,31.2807,29.8474,31.216
2022-10-18,31.2148,31.4783,29.7431,30.1435
2022-10-19,30.1366,30.2423,28.6182,28.8563
2022-10-20,28.85,29.4619,27.9803,28.0213
2022-10-21,28.0213,28.2768,26.8405,28.1032
2022-10-22,28.0999,28.2236,27.4798,28.0109
2022-10-23,28.0109,29.4251,27.7376,29.2774
2022-10-24,29.2791,29.4923,28.1779,28.313
2022-10-25,28.313,32.3211,28.0638,30.9039
2022-10-26,30.8937,32.1554,30.6409,31.28825
2022-10-27,31.306325,32.339175,30.46045,30.5823
2022-10-28,30.580375,32.54885,30.1275,32.0655
2022-10-29,32.065475,33.8347,31.871975,32.881225
2022-10-30,32.878725,33.531675,31.93915,32.9319
2022-10-31,32.9319,34.37305,32.217075,32.5607
2022-11-01,32.5607,33.3829,32.1582,32.1964
2022-11-02,32.2014,32.9325,30.2491,30.8047
2022-11-03,30.8022,32.2347,30.6131,30.8463
2022-11-04,30.8413,34.1929,30.676,33.7386
2022-11-05,33.7361,38.7662,33.6794,36.8741
2022-11-06,36.8741,37.0525,32.3411,32.6198
2022-11-07,32.6148,33.1175,28.1586,29.626
2022-11-08,29.6271,31.7214,22.2715,24.3652
2022-11-09,24.3499,24.3499,12.3426,14.021
2022-11-10,14.015,18.9434,12.924,17.6209
2022-11-11,17.6235,18.2408,15.1261,16.3693
2022-11-12,16.37,16.4151,14.4525,14.5415
2022-11-13,14.544,14.7017,13.045,13.17
2022-11-14,13.1662,14.9626,12.1462,13.9847
2022-11-15,13.9847,15.0735,13.8087,14.3006
2022-11-16,14.3006,14.6021,13.6322,14.2749
2022-11-17,14.2749,14.49,12.9336,13.6307
2022-11-18,13.6331,13.8687,12.9825,13.254
2022-11-19,13.2509,13.259,12.5701,12.8234
2022-11-20,12.8283,13.5526,12.1088,12.258
2022-11-21,12.253,12.2671,11.2724,11.8214
2022-11-22,11.8192,12.4909,10.9369,12.4231
