time,open,high,low,close,Plot,Plot
2014-08-10,588.61,594.49,583.31,588.61,585.255999999999,1
2014-08-11,587.97,588.7,567.02,572.51,583.9866666666657,1
2014-08-12,573.32,578.8,562.51,569.54,583.0559999999989,1
2014-08-13,569.52,571.4,525,547.3,580.675999999999,1
2014-08-14,546.25,546.5,451,510.98,577.0086666666656,1
2014-08-15,509.99,519.5,478,496.39,571.4346666666656,1
2014-08-16,496.39,523.11,484.5,519.01,566.3953333333322,1
2014-08-17,519.54,522.43,484.82,497.4,560.3819999999989,1
2014-08-18,497.57,512.3,443,467.04,552.4706666666656,1
2014-08-19,467.95,492.61,462.9,487,545.8306666666655,1
2014-08-20,487.24,521.89,464,511,541.0346666666655,1
2014-08-21,510.61,534.89,510.6,517.47,536.7753333333322,1
2014-08-22,518.24,525,503.7,514.13,531.9306666666656,1
2014-08-23,514.42,515.58,491.52,499.5,525.8573333333322,1
2014-08-24,498.85,517.7,495.71,510.82,520.5799999999989,1
2014-08-25,511.41,511.41,497.55,501.76,514.7899999999988,1
2014-08-26,501.49,517.47,497.75,513.34,510.84533333333223,1
2014-08-27,512.3,522.8,508.1,508.35,506.7659999999989,1
2014-08-28,508.3,514.77,503.86,505.87,504.0039999999989,1
2014-08-29,505.87,513.99,498.8,508.52,503.8399999999989,1
2014-08-30,508.34,508.37,495.5,499.15,504.0239999999988,1
2014-08-31,499.08,500.27,471.65,477.81,501.2773333333322,1
2014-09-01,477.84,484.9,471.01,472.6,499.6239999999989,1
2014-09-02,472.97,484,468.82,475.45,500.1846666666655,1
2014-09-03,475.46,479.9,472.99,474.14,499.3273333333322,1
2014-09-04,474.14,497.24,473.1,489.68,497.9059999999989,1
2014-09-05,489.69,491.42,478.1,481.9,495.5346666666656,1
2014-09-06,480.62,486.9,480.1,482.61,493.43333333333226,1
2014-09-07,483.08,487.1,479.88,479.88,492.12533333333226,1
2014-09-08,479.88,480.9,464.22,471.1,489.47733333333224,1
2014-09-09,471.16,479.7,463,473.06,487.5639999999988,1
2014-09-10,473.09,489.99,472,478.12,485.21599999999887,1
2014-09-11,478.1,480.6,472.2,477.38,483.1513333333322,1
2014-09-12,477.04,477.98,467,474.37,481.05133333333225,1
2014-09-13,474.34,483.93,472.86,478.69,479.06266666666556,1
